id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
4927a647db92fe5b8e248db2d000b6f1,krakow,blockOfFlats,51.32,2.0,2.0,3.0,1958.0,50.0739,20.0314,6.95,21.0,0.049,1.384,0.299,0.079,0.157,0.366,0.158,condominium,brick,,yes,yes,no,no,yes,545000
2ba60f43c3f1c7d22b1f0c3694c1ea3c,warszawa,apartmentBuilding,74.0,3.0,2.0,4.0,,52.2247217,20.9771863,1.96,22.0,0.365,0.272,0.642,0.35,0.238,1.311,0.273,condominium,brick,,yes,yes,yes,no,no,7400
b88f868cd1b11170ebd7ed6e1d942da7,warszawa,,59.53,2.0,4.0,4.0,1999.0,52.2033329,20.9377313,5.48,7.0,0.917,0.661,1.181,0.451,0.156,2.353,0.449,condominium,brick,,no,yes,yes,no,no,685000
e6ebcd639062a78dd45c0eb2b16b1834,warszawa,blockOfFlats,64.0,3.0,3.0,3.0,,52.2616210802133,20.9212328221819,6.52,6.0,0.36,0.666,0.332,0.387,0.116,2.144,0.171,condominium,,,yes,no,no,yes,no,3500
1768a1e211f3fb8f0a85ea440d1bc3af,krakow,tenement,90.0,4.0,2.0,3.0,,50.0665,19.942,1.27,94.0,0.088,0.598,0.177,0.343,0.04,0.36,0.147,condominium,brick,,no,no,no,no,no,2180000
276a7c71710d3454fce8cfb84368ef94,warszawa,apartmentBuilding,149.2,6.0,,,2003.0,52.1719171,21.1072701,9.7,3.0,1.42,3.588,0.757,0.176,0.096,4.383,0.687,condominium,brick,,no,yes,no,yes,no,1800000
c9b3014654ff04a30499f0230b6e26fb,warszawa,,59.0,3.0,,3.0,2014.0,52.3289879,21.0076793,10.82,0.0,0.548,2.659,0.702,0.914,1.398,4.086,1.465,condominium,,,yes,no,yes,yes,no,700000
036614ab46fab7b699787e89daf4c0e8,warszawa,tenement,54.0,2.0,,4.0,1936.0,52.22672355,21.03665641,2.32,22.0,0.203,1.135,0.623,0.07,0.253,1.075,0.277,condominium,brick,,no,no,no,no,yes,1250000
06fd7b1132fd4ca08a1bc5cbf89dbbb2,gdansk,apartmentBuilding,49.26,2.0,2.0,5.0,2020.0,54.41414,18.56379,9.29,9.0,0.577,0.907,0.724,0.244,0.369,0.589,0.445,condominium,brick,,no,yes,yes,no,no,1035000
352e08ea27eaa90bf1d9d4dda0a4c902,lublin,tenement,37.87,2.0,1.0,2.0,1910.0,51.22824,22.57224,2.18,6.0,0.564,0.087,0.47,0.135,0.491,0.516,0.286,condominium,brick,,no,no,no,no,no,345000
ae92ff3ae3ac110fd88bdcd396258f66,warszawa,tenement,35.0,2.0,,4.0,1939.0,52.25469,20.99197,2.67,58.0,0.258,0.034,0.347,0.14,0.109,0.241,0.198,condominium,brick,,no,no,no,no,no,530000
8ef9c8bfa9defa298bc91d7269df2733,lodz,blockOfFlats,38.8,2.0,8.0,10.0,,51.7628999,19.4290999,2.72,2.0,0.697,1.096,0.484,0.793,0.248,2.292,0.853,condominium,,low,yes,yes,yes,no,yes,233000
b0bc00fd19adfadf5a2e32c7f0d29e4d,warszawa,,30.0,1.0,2.0,2.0,1951.0,52.19999,21.01045,3.56,29.0,0.194,0.468,0.113,0.133,0.083,0.948,0.147,condominium,,,no,no,no,no,yes,2500
1546e3b93a4f2fe942f8664ddf20cc81,krakow,apartmentBuilding,52.0,2.0,,,2015.0,50.0779006,19.8997775,3.73,13.0,0.461,0.898,0.022,0.214,0.235,0.662,0.149,condominium,brick,,yes,yes,yes,no,no,770000
f9496575fc7e5ce215950aae6dd10878,szczecin,apartmentBuilding,52.3,2.0,2.0,4.0,,53.4290868,14.5409901,1.47,62.0,0.081,0.545,0.158,0.159,0.103,0.169,0.122,condominium,brick,premium,no,no,,no,no,2900
6d2234483cfa9158a9e9691bff8f398a,warszawa,tenement,85.0,3.0,,5.0,1955.0,52.22319,21.00747,0.98,73.0,0.239,0.082,0.209,0.202,0.028,0.372,0.019,condominium,brick,,no,no,no,no,no,1799000
28bdd8d27c7ec46ca4b9fb55c53e5d5f,bydgoszcz,tenement,25.0,1.0,,2.0,,53.13366,18.00581,1.34,22.0,0.384,0.419,0.144,0.107,0.24,0.242,0.317,condominium,brick,,no,no,no,no,no,185000
